year,month,Project Name,Street Name,Developer,Property Type,Locality,Total Number of Units in Project,Cumulative Units Launched to-date,Cumulative Units Sold to-date,Cumulative Units Launched but Unsold,Units Launched in the Month,Units Sold in the Month,Median Price($psm) # in the Month Number Sold By Price Range,Lowest Price ($psm) # in the Month,Highest Price ($psm) # in the Month
2010,08,RV RESIDENCES,RIVER VALLEY ROAD,Asiawide Resources Pte Ltd,Non-Landed,CCR,248,0,0,0,0,0,-,-,-
2010,08,RV SUITES,RIVER VALLEY ROAD,Fortune Royal Pte Ltd,Non-Landed,CCR,96,96,96,0,0,0,-,-,-
2010,08,SAGE,NASSIM ROAD,Hong Leong Holdings Ltd,Non-Landed,CCR,33,10,5,5,0,1,"27,814","27,814","27,814"
2010,08,SANCTUARY @813,UPPER SERANGOON ROAD,Sunhuan Construction Pte Ltd,Non-Landed,OCR,23,23,13,10,0,0,-,-,-
2010,08,SANDY ISLAND,SANDY ISLAND,Sandy Island Pte Ltd,Landed,CCR,18,15,14,1,0,0,-,-,-
2010,08,SCOTTS SQUARE,SCOTTS ROAD,Wheelock Properties (Singapore) Ltd,Non-Landed,CCR,338,240,240,0,0,0,-,-,-
2010,08,SEASCAPE,COVE WAY,Seaview (Sentosa) Pte Ltd,Non-Landed,CCR,151,40,33,7,0,1,"29,192","29,192","29,192"
2010,08,SEVEN CRESCENT,CRESCENT ROAD,Teck Chiang Realty Pte Ltd,Strata-Landed,RCR,14,14,0,14,0,0,-,-,-
2010,08,SEVEN PALMS SENTOSA COVE,COVE DRIVE,Trollius Pte Ltd,Non-Landed,CCR,41,9,9,0,0,0,-,-,-
2010,08,SHAMROCK VILLAS,NAMLY PLACE,Fortune Properties Pte Ltd,Strata-Landed,CCR,11,11,10,1,0,0,-,-,-
2010,08,SHELFORD 23,SHELFORD ROAD,Hoi Hup Shelford Realty Pte Ltd,Non-Landed,CCR,33,33,33,0,0,0,-,-,-
2010,08,SHELFORD SUITES,SHELFORD ROAD,City Developments Ltd,Non-Landed,CCR,77,77,74,3,0,0,-,-,-
2010,08,SIGLAP V,EAST COAST ROAD,DB2 Realty Pte Ltd,Non-Landed,OCR,114,114,91,23,0,10,"14,736","12,422","17,050"
2010,08,SIGNATURE AT LEWIS,LEWIS ROAD,Guan Hoe Development Pte Ltd,Non-Landed,CCR,32,32,27,5,0,0,-,-,-
2010,08,SILVERSEA,MARINE PARADE ROAD,Marina Green Ltd,Non-Landed,RCR,383,308,215,93,0,18,"16,996","13,778","19,192"
2010,08,SIMS DORADO,LORONG 39 GEYLANG,Bravo Building Construction Pte Ltd,Non-Landed,RCR,35,35,35,0,0,0,-,-,-
2010,08,SKY@ELEVEN,THOMSON LANE,Times Development Pte Ltd,Non-Landed,CCR,273,273,273,0,0,0,-,-,-
2010,08,SKYLINE 360 @ ST THOMAS WALK,ST THOMAS WALK,Bukit Panjang Plaza Pte Ltd,Non-Landed,CCR,61,30,30,0,3,3,"23,110","20,710","25,511"
2010,08,SKYLINE @ ORCHARD BOULEVARD,ANGULLIA PARK,Tanglin View Pte Ltd,Non-Landed,CCR,40,10,3,7,0,0,-,-,-
2010,08,SKYPARK,ST THOMAS WALK,TG (2003) Pte Ltd,Non-Landed,CCR,56,56,48,8,0,0,-,-,-
2010,08,SOLARIS RESIDENCES,PAYA LEBAR CRESCENT,Success Century Pte Ltd,Strata-Landed,OCR,17,17,17,0,0,0,-,-,-
2010,08,SOLEIL @ SINARAN,SINARAN DRIVE,Riverside Investments Pte Ltd,Non-Landed,CCR,417,417,388,29,0,1,"17,395","17,395","17,395"
